long_strike,short_strike,current_price,long_ask,short_black_scholes_price,long_black_scholes_price,short_z_score,long_z_score,short_ask,long_bid,short_bid,net_premium,max_profit,max_loss,breakeven,reward_risk_ratio,probability_of_profit,spread_width,bid_ask_spread,long_open_interest,short_open_interest,iv_skew,long_implied_volatility,short_implied_volatility,long_delta,short_delta,long_gamma,short_gamma,long_theta,short_theta,net_theta,long_vega,short_vega,long_rho,short_rho,expiration
108.0,113.0,145.47999572753906,0.05,0.05983277471096504,0.042944925770894926,0.17,-0.069,0.07,0.04,0.06,0.01,0.01,4.99,112.99,0.0,0.99,5.0,0.030000000000000006,1211,916,-0.07899,0.799361,0.720371,-0.0014248338830236,-0.0054795579259997,0.0002965910298711199,0.0010205239638941587,-0.005567155882175563,-0.02402473733753772,0.02,0.0009607458175046649,0.0029888777604844038,0.026617590403386883,0.027712594288690977,2025-06-27
108.0,114.0,145.47999572753906,0.05,0.06805761620151163,0.04294492560589114,0.175,-0.069,0.08,0.04,0.07,0.02,0.02,5.98,113.98,0.0,0.99,6.0,0.04,1211,523,-0.088866,0.799361,0.710495,-0.0014248338830236,-0.0066061476868032,0.0002965910298711199,0.001218212976949852,-0.005567155882175563,-0.029215926278185096,0.02,0.0009607458175046649,0.003879134495882464,0.026617590403386883,0.027920670366764534,2025-06-27
108.0,115.0,145.47999572753906,0.05,0.06788163921776125,0.04294492544088957,0.179,-0.069,0.08,0.04,0.07,0.02,0.02,6.98,114.98,0.0,0.99,7.0,0.04,1211,2992,-0.11144900000000002,0.799361,0.687912,-0.0014248338830236,-0.0083867866820101,0.0002965910298711199,0.0015095419634911838,-0.005567155882175563,-0.03266787938788156,0.03,0.0009607458175046649,0.004949075287091137,0.026617590403386883,0.028105764433844077,2025-06-27
108.0,116.0,145.47999572753906,0.05,0.0767630326444293,0.042944925276797274,0.042,-0.069,0.08,0.04,0.07,0.02,0.02,7.98,115.98,0.0,0.99,8.0,0.04,1211,979,-0.122054,0.799361,0.677307,-0.0014248338830236,-0.010058170796879,0.0002965910298711199,0.0017737818763172235,-0.005567155882175563,-0.035305164790608086,0.03,0.0009607458175046649,0.006297945005164406,0.026617590403386883,0.028299202213590474,2025-06-27
108.0,117.0,145.47999572753906,0.05,0.0822220148748869,0.04294492511339221,0.095,-0.069,0.09,0.04,0.08,0.03,0.03,8.97,116.97,0.0,0.99,9.0,0.049999999999999996,1211,1330,-0.137922,0.799361,0.661439,-0.0014248338830236,-0.0123736077848459,0.0002965910298711199,0.0021581271455965215,-0.005567155882175563,-0.039462185522648664,0.03,0.0009607458175046649,0.007509927757768277,0.026617590403386883,0.028461117249346638,2025-06-27
108.0,118.0,145.47999572753906,0.05,0.07852907609580262,0.0429449249488465,0.273,-0.069,0.1,0.04,0.09,0.04,0.04,9.96,117.96,0.0,0.99,10.0,0.060000000000000005,1211,1569,-0.164624,0.799361,0.634737,-0.0014248338830236,-0.0147555063801312,0.0002965910298711199,0.002541045994619194,-0.005567155882175563,-0.04310065391505139,0.04,0.0009607458175046649,0.007903489292504829,0.026617590403386883,0.02862521829289217,2025-06-27
109.0,114.0,145.47999572753906,0.06,0.06805761417529643,0.042871924439596754,0.175,-0.067,0.08,0.04,0.07,0.01,0.01,4.99,113.99,0.0,0.99,5.0,0.04,960,523,-0.06657599999999997,0.777071,0.710495,-0.0019207050421699,-0.0066061476868032,0.0003905179345438816,0.001218212976949852,-0.0076947658225592725,-0.029215926278185096,0.02,0.0013003791836921678,0.003879134495882464,0.026847540278708462,0.027920670366764534,2025-06-27
109.0,115.0,145.47999572753906,0.06,0.06788163721227347,0.04287192427813036,0.179,-0.067,0.08,0.04,0.07,0.01,0.01,5.99,114.99,0.0,0.99,6.0,0.04,960,2992,-0.08915899999999999,0.777071,0.687912,-0.0019207050421699,-0.0083867866820101,0.0003905179345438816,0.0015095419634911838,-0.0076947658225592725,-0.03266787938788156,0.02,0.0013003791836921678,0.004949075287091137,0.026847540278708462,0.028105764433844077,2025-06-27
109.0,116.0,145.47999572753906,0.06,0.07676303044624855,0.04287192411530305,0.042,-0.067,0.08,0.04,0.07,0.01,0.01,6.99,115.99,0.0,0.99,7.0,0.04,960,979,-0.09976399999999996,0.777071,0.677307,-0.0019207050421699,-0.010058170796879,0.0003905179345438816,0.0017737818763172235,-0.0076947658225592725,-0.035305164790608086,0.03,0.0013003791836921678,0.006297945005164406,0.026847540278708462,0.028299202213590474,2025-06-27
109.0,117.0,145.47999572753906,0.06,0.08222201256917572,0.04287192395293005,0.095,-0.067,0.09,0.04,0.08,0.02,0.02,7.98,116.98,0.0,0.99,8.0,0.049999999999999996,960,1330,-0.11563199999999996,0.777071,0.661439,-0.0019207050421699,-0.0123736077848459,0.0003905179345438816,0.0021581271455965215,-0.0076947658225592725,-0.039462185522648664,0.03,0.0013003791836921678,0.007509927757768277,0.026847540278708462,0.028461117249346638,2025-06-27
109.0,118.0,145.47999572753906,0.06,0.07852907389130426,0.04287192379055549,0.273,-0.067,0.1,0.04,0.09,0.03,0.03,8.97,117.97,0.0,0.99,9.0,0.060000000000000005,960,1569,-0.14233399999999996,0.777071,0.634737,-0.0019207050421699,-0.0147555063801312,0.0003905179345438816,0.002541045994619194,-0.0076947658225592725,-0.04310065391505139,0.04,0.0013003791836921678,0.007903489292504829,0.026847540278708462,0.02862521829289217,2025-06-27
109.0,119.0,145.47999572753906,0.06,0.08654817795200342,0.04287192362818182,0.155,-0.067,0.1,0.04,0.09,0.03,0.03,9.97,118.97,0.0,0.98,10.0,0.060000000000000005,960,1266,-0.155706,0.777071,0.621365,-0.0019207050421699,-0.0174000185097436,0.0003905179345438816,0.002964440803092511,-0.0076947658225592725,-0.04700704991130494,0.04,0.0013003791836921678,0.009830255597188916,0.026847540278708462,0.028780164113801344,2025-06-27
110.0,114.0,145.47999572753906,0.06,0.06805761214137407,0.0428203155349991,0.175,0.168,0.08,0.05,0.07,0.01,0.01,3.99,113.99,0.0,0.99,4.0,0.03,2577,523,-0.04449599999999998,0.754991,0.710495,-0.0025897049320714,-0.0066061476868032,0.0005130730529423887,0.001218212976949852,-0.010663110091639196,-0.029215926278185096,0.02,0.0017233346610167786,0.003879134495882464,0.02707148788561141,0.027920670366764534,2025-06-27
110.0,115.0,145.47999572753906,0.06,0.06788163519596058,0.04282031537473707,0.179,0.168,0.08,0.05,0.07,0.01,0.01,4.99,114.99,0.0,0.99,5.0,0.03,2577,2992,-0.067079,0.754991,0.687912,-0.0025897049320714,-0.0083867866820101,0.0005130730529423887,0.0015095419634911838,-0.010663110091639196,-0.03266787938788156,0.02,0.0017233346610167786,0.004949075287091137,0.02707148788561141,0.028105764433844077,2025-06-27
